Region,Depth,Oil_Production_Rate,Extraction_Method,Water_Cut,Flaring_Emissions_MtCO2,Venting_Emissions_MtCO2,Methane_Emissions_MtCO2e
europe,3797.59,4741319.0,steam injection,39.96,2.42,4.34,7.01
africa,2776.68,592.13,steam injection,59.45,1.27,4.6,8.37
asia,3836.96,4487.35,natural lift,19.99,0.8,3.8,9.94
north america,3574.75,3105149.4,water flooding,36.82,6.49,4.28,4.48
europe,3416.3,3681.73,natural lift,40.41,4.67,0.76,0.64
middle east,1310.06,4874.59,steam injection,47.54,2.33,2.21,4.91
south america,2727.01,193.41,steam injection,46.8,3.32,1.1,6.07
europe,3695.6,55915.61,fracking,47.39,1.93,2.2,5.24
middle east,806.68,3276.2,natural lift,77.65,0.16,4.96,4.32
asia,1798.35,2434839.26,water flooding,89.39,9.89,1.72,4.2
north america,3283.6,1264.35,water flooding,71.65,0.8,3.83,5.8
asia,1262.39,2057910.69,steam injection,87.29,1.99,2.3,6.41
south america,4701.24,4567.22,water flooding,21.77,0.49,1.95,5.62
middle east,1035.94,2724.1,steam injection,54.03,7.3,4.97,1.65
middle east,2746.81,2355071.65,water flooding,13.94,3.89,1.22,3.96
africa,2823.46,2450015.62,water flooding,39.33,5.67,1.05,5.02
asia,2889.58,3395.61,natural lift,57.38,1.53,4.44,7.7
europe,4321.44,401298.01,fracking,98.17,9.77,4.61,1.02
africa,1427.61,3555.65,water flooding,34.24,9.22,4.59,3.17
asia,1028.28,583.01,water flooding,48.13,4.12,3.75,6.68
north america,2524.47,454365.5,fracking,59.23,1.33,2.04,8.87
asia,3582.94,1614.25,fracking,92.26,4.49,4.33,9.58
north america,1759.34,2256.49,fracking,39.79,9.85,3.55,3.24
south america,3027.45,4043150.92,natural lift,10.44,6.58,2.36,5.44
asia,676.73,2551.49,steam injection,81.98,6.11,2.17,4.51
south america,3289.43,2294981.1,water flooding,21.93,0.88,4.78,5.34
africa,1441.18,786925.43,steam injection,2.42,3.1,0.22,5.21
middle east,4177.75,4292.98,steam injection,67.15,9.16,4.49,3.27
middle east,3749.13,2703.23,natural lift,34.92,9.41,2.04,1.97
asia,4267.58,4768.83,natural lift,25.55,5.69,4.1,3.49
europe,997.98,4739323.7,water flooding,54.65,2.4,2.55,2.68
europe,3489.93,3146639.53,natural lift,93.07,9.11,2.02,9.1
middle east,1088.14,1943808.81,natural lift,53.03,7.56,1.23,3.92
middle east,1154.13,864744.32,steam injection,1.06,1.7,0.61,7.14
europe,1428.15,108690.11,water flooding,43.09,2.99,1.68,3.69
south america,3821.86,4967559.77,fracking,55.14,3.4,1.33,1.4
north america,1522.16,2665.95,steam injection,44.6,2.92,0.93,9.94
middle east,3660.92,3128856.74,fracking,48.47,7.89,0.88,6.38
africa,2906.72,2581.09,fracking,2.16,6.84,4.13,0.69
north america,926.3,1552.82,steam injection,62.78,9.65,3.82,4.95
north america,2781.21,3607930.7,fracking,62.11,8.37,4.5,1.96
north america,2255.84,3066164.57,fracking,70.14,9.89,1.24,7.13
asia,1568.69,1296428.8,steam injection,49.18,8.52,1.0,9.71
asia,2411.37,876443.69,water flooding,12.59,0.52,3.72,4.67
north america,4925.45,1221.97,fracking,68.08,8.94,4.81,3.69
africa,4120.51,3901120.54,water flooding,11.78,1.75,2.46,7.05
north america,1780.59,1168.37,water flooding,31.96,1.34,2.14,4.73
asia,4335.26,4414206.2,water flooding,86.19,5.86,1.22,5.76
asia,3059.43,4357.27,natural lift,36.13,9.54,4.25,1.69
asia,4591.61,2830466.47,fracking,4.54,0.82,0.12,7.97
